waterbody,station,coordinates,deployment dates,string configuration,sensor type,sensor serial number,year,month,day,hour,minute,second,depth,depth unit,dissolved oxygen,dissolved oxygen unit,temperature,temperature unit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,03,24,1.6,m,102.3,% saturation,32.432,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,13,24,1.6,m,102.2,% saturation,32.432,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,23,24,1.6,m,101.7,% saturation,32.468,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,33,24,1.6,m,102,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,43,24,1.6,m,101.9,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,00,53,24,1.6,m,102,% saturation,32.432,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,03,24,1.6,m,101.7,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,13,24,1.6,m,101.7,% saturation,32.432,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,23,24,1.6,m,101.7,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,33,24,1.6,m,101.6,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,43,24,1.6,m,101.6,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,01,53,24,1.6,m,101.5,% saturation,32.396,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,03,24,1.6,m,101.6,% saturation,32.36,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,13,24,1.6,m,101.5,% saturation,32.36,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,23,25,1.6,m,101.5,% saturation,32.27,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,33,25,1.6,m,101.4,% saturation,32.234,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,43,25,1.6,m,100.9,% saturation,32.09,fahrenheit
Monks Head Harbour,Monks Head,"N45° 39' 17.496"" W61° 49' 43.284""",2023-11-01 to 2024-05-15,sub-surface buoy,aquameasure,675012,2024,01,07,02,53,25,1.6,m,101,% saturation,32.054,fahrenheit
